run_id,scenario,variant,live_seed,minute,active_requests,queued_requests
concurrency_dqn_train44_live1004,concurrency,dqn,1004,25.0,11.0,19.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,25.5,11.0,20.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,26.0,11.0,21.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,26.5,11.0,21.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,27.0,11.0,22.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,27.5,11.0,22.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,28.0,11.0,23.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,28.5,11.0,23.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,29.0,11.0,24.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,29.5,11.0,25.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,30.0,11.0,25.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,0.0,1.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,0.5,1.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,1.0,2.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,1.5,2.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,2.0,3.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,2.5,3.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,3.0,4.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,3.5,4.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,4.0,5.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,4.5,5.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,5.0,6.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,5.5,6.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,6.0,7.0,0.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,6.5,7.0,1.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,7.0,7.0,1.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,7.5,8.0,1.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,8.0,8.0,1.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,8.5,8.0,2.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,9.0,8.0,3.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,9.5,8.0,3.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,10.0,8.0,4.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,10.5,8.0,4.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,11.0,8.0,5.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,11.5,8.0,5.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,12.0,8.0,6.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,12.5,8.0,7.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,13.0,8.0,7.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,13.5,8.0,8.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,14.0,8.0,9.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,14.5,8.0,9.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,15.0,8.0,10.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,15.5,8.0,10.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,16.0,8.0,11.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,16.5,8.0,12.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,17.0,8.0,12.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,17.5,8.0,13.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,18.0,8.0,14.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,18.5,8.0,15.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,19.0,8.0,15.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,19.5,8.0,16.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,20.0,8.0,16.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,20.5,8.0,17.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,21.0,8.0,17.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,21.5,8.0,18.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,22.0,8.0,19.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,22.5,8.0,19.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,23.0,8.0,20.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,23.5,8.0,20.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,24.0,8.0,21.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,24.5,8.0,21.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,25.0,8.0,22.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,25.5,8.0,22.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,26.0,8.0,23.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,26.5,8.0,24.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,27.0,8.0,24.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,27.5,8.0,25.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,28.0,8.0,25.0
